,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
50,Retail,female,Philippines,PH,shared,field_partner,5,900,English,irregular,Retail,funded,8,0.029
51,Tailoring,male,Kenya,KE,shared,field_partner,29,800,English,monthly,Services,not_funded,13,0.223
52,Crafts,female,Jordan,JO,shared,field_partner,45,1150,English,monthly,Arts,funded,19,0.005
53,Primary/secondary school costs,group,Sierra Leone,SL,not shared,field_partner,136,4525,English,monthly,Education,funded,8,0.423
54,Fishing,male,Cambodia,KH,shared,field_partner,16,500,English,monthly,Food,funded,20,0.121
55,Food,group,The Democratic Republic of the Congo,CD,shared,field_partner,16,4750,French,irregular,Food,funded,6,0.034
56,Farming,female,Philippines,PH,shared,field_partner,2,125,English,irregular,Agriculture,funded,8,0.055
57,General Store,female,Philippines,PH,shared,field_partner,18,700,English,irregular,Retail,funded,7,0.091
58,General Store,group,Uganda,UG,shared,field_partner,10,325,English,irregular,Retail,funded,1 Year,0.013
59,Dairy,male,Kenya,KE,shared,field_partner,12,1000,English,monthly,Agriculture,not_funded,20,0.509
60,Fruits & Vegetables,female,Uganda,UG,shared,field_partner,8,,English,irregular,Food,funded,6,0.013
61,Farming,male,El Salvador,SV,shared,field_partner,6,200,Spanish,bullet,Agriculture,funded,8,0.054
62,Grocery Store,female,Cambodia,KH,not shared,field_partner,7,600,English,irregular,Food,funded,15,0.16
63,Personal Housing Expenses,female,Nicaragua,NI,not shared,field_partner,30,775,Spanish,monthly,Housing,funded,26,0.082
64,Home Products Sales,female,Philippines,PH,shared,field_partner,1,250,English,irregular,Retail,funded,7,0.039
65,Sewing,female,Colombia,CO,not shared,field_partner,28,775,Spanish,monthly,Services,funded,20,0.005
66,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.196
67,Motorcycle Transport,female,Philippines,PH,shared,field_partner,9,625,English,irregular,Transportation,funded,8,0.055
68,Farming,male,Cambodia,KH,shared,field_partner,39,1025,English,monthly,Agriculture,funded,26,0.274
69,Food Stall,female,South Sudan,SS,shared,field_partner,8,200,English,irregular,Food,funded,6,0.456
70,Wholesale,male,Bolivia,BO,not shared,field_partner,10,450,Spanish,monthly,Wholesale,funded,20,0.077
71,Services,female,Cambodia,KH,not shared,field_partner,12,300,English,monthly,Services,funded,1 Year,0.353
72,Farming,male,Philippines,PH,shared,field_partner,14,350,English,bullet,Agriculture,funded,7,0.039
73,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.204
74,General Store,female,Philippines,PH,shared,field_partner,13,325,English,irregular,Retail,funded,10,0.055
75,General Store,male,El Salvador,SV,shared,field_partner,17,700,Spanish,monthly,Retail,funded,20,0.054
76,Restaurant,female,Bolivia,BO,not shared,field_partner,13,500,Spanish,irregular,Food,funded,6,0.077
77,Fish Selling,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Food,funded,8,0.055
78,Food Stall,female,El Salvador,SV,shared,field_partner,,600,Spanish,monthly,Food,funded,14,0.054
79,Farming,male,Nigeria,NG,shared,field_partner,6,175,English,bullet,Agriculture,funded,19,0.311
80,Grocery Store,female,Kenya,KE,shared,field_partner,2,125,English,monthly,Food,funded,8,0.242
81,Fruits & Vegetables,female,El Salvador,SV,shared,field_partner,39,1200,Spanish,monthly,Food,funded,20,0.03
82,Personal Expenses,male,Kenya,KE,shared,field_partner,7,225,English,monthly,Personal Use,funded,8,0.02
83,Sewing,female,Colombia,CO,not shared,field_partner,36,1125,Spanish,monthly,Services,funded,21,0.005
84,Sewing,female,Nigeria,NG,shared,field_partner,24,675,English,monthly,Services,funded,10,0.605
85,Farming,male,Nigeria,NG,shared,field_partner,7,175,English,bullet,Agriculture,funded,19,0.311
86,Retail,group,Peru,PE,shared,field_partner,20,2175,Spanish,monthly,Retail,funded,7,0
87,Poultry,female,Kenya,,shared,field_partner,21,900,English,monthly,Agriculture,funded,14,0.509
88,Renewable Energy Products,group,Kenya,KE,shared,field_partner,37,3600,English,monthly,Retail,not_funded,15,0.02
89,Taxi,female,Pakistan,PK,shared,field_partner,13,325,English,irregular,Transportation,funded,20,0.039
90,General Store,female,Timor-Leste,TL,not shared,field_partner,11,1000,English,monthly,Retail,not_funded,14,0.044
91,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,23,700,English,irregular,Housing,funded,60,0.029
92,Bakery,male,Colombia,CO,shared,field_partner,20,525,Spanish,monthly,Food,funded,14,0.005
93,Beverages,male,Sierra Leone,SL,shared,field_partner,54,1400,English,monthly,Food,funded,1 Year,0.531
94,General Store,female,Philippines,PH,shared,field_partner,6,300,English,irregular,Retail,funded,7,0.055
95,Services,male,Bolivia,BO,shared,field_partner,4,875,Spanish,monthly,Services,not_funded,17,0.077
96,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,9,225,,irregular,Housing,funded,14,0.054
97,Clothing Sales,female,Peru,PE,shared,field_partner,7,400,Spanish,monthly,Clothing,funded,14,0.009
98,Cattle,female,Tajikistan,TJ,not shared,field_partner,12,325,Russian,monthly,Agriculture,funded,8,0.033
99,Retail,female,Nigeria,NG,shared,field_partner,6,475,English,monthly,Retail,funded,10,0.605
100,Agriculture,female,Philippines,PH,not shared,field_partner,7,350,English,bullet,Agriculture,funded,7,0.09
101,Home Products Sales,female,Mongolia,MN,shared,field_partner,82,2475,English,monthly,Retail,funded,26,0.006
102,Beauty Salon,female,Kenya,KE,shared,field_partner,7,400,English,irregular,Services,funded,14,0.075
103,Retail,female,Philippines,PH,shared,field_partner,4,450,English,irregular,Retail,funded,7,0.055
104,Higher education costs,female,Bolivia,BO,shared,field_partner,24,600,Spanish,monthly,Education,funded,20,0.077
105,Charcoal Sales,female,Cambodia,KH,not shared,field_partner,25,800,English,monthly,Retail,funded,17,0.121
106,Food Production/Sales,female,El Salvador,SV,shared,field_partner,32,800,Spanish,monthly,Food,funded,20,0.077
107,Home Energy,male,Yemen,YE,shared,field_partner,12,400,English,monthly,Personal Use,funded,10,0.343
108,Agriculture,female,Cambodia,KH,not shared,field_partner,5,200,,irregular,Agriculture,funded,1 Year,0.16
109,Retail,female,Jordan,JO,shared,field_partner,14,750,English,monthly,Retail,funded,18,0.011
110,Personal Housing Expenses,female,Cambodia,KH,shared,field_partner,55,1500,English,monthly,Housing,funded,26,0.16
111,Beverages,female,Uganda,UG,not shared,field_partner,4,100,English,irregular,Food,funded,11,0.013
112,Clothing Sales,female,Kenya,KE,shared,field_partner,8,400,English,monthly,Clothing,funded,14,0.223
113,Butcher Shop,female,Cameroon,CM,shared,field_partner,15,400,French,monthly,Food,funded,15,0.024
114,Farming,group,Mali,ML,shared,field_partner,22,1350,French,bullet,Agriculture,funded,1 Year,0.168
115,Food Market,group,Ghana,GH,shared,field_partner,55,1925,English,irregular,Food,funded,10,0.058
116,Pigs,male,Philippines,PH,shared,field_partner,34,1125,English,bullet,Agriculture,funded,7,0.027
117,Poultry,female,Nepal,NP,not shared,field_partner,8,250,English,monthly,Agriculture,funded,15,0.094
118,General Store,female,Peru,PE,shared,field_partner,26,1000,Spanish,monthly,Retail,funded,20,0.009
119,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,12,1000,Spanish,monthly,Housing,not_funded,20,0.201
120,Charcoal Sales,female,Liberia,LR,shared,field_partner,17,425,English,irregular,Retail,funded,1 Year,0.527
121,Construction Supplies,female,Kenya,KE,shared,field_partner,24,950,English,monthly,Construction,funded,14,0.02
122,Clothing,female,Tajikistan,TJ,shared,field_partner,11,1725,English,monthly,Clothing,not_funded,14,0.033
123,Property,male,El Salvador,SV,shared,field_partner,18,1500,Spanish,monthly,Housing,not_funded,26,0.054
124,Animal Sales,female,Peru,PE,shared,field_partner,4,175,Spanish,irregular,Agriculture,funded,6,0.069
125,Food Production/Sales,female,Cambodia,KH,not shared,field_partner,22,1000,English,monthly,Food,funded,21,0.12
126,Personal Expenses,female,Cambodia,KH,not shared,field_partner,20,600,English,monthly,Personal Use,funded,14,0.16
127,Home Appliances,group,Lao People's Democratic Republic,LA,shared,field_partner,12,325,English,bullet,Personal Use,funded,8,0.248
128,Cheese Making,male,Nicaragua,NI,shared,field_partner,10,300,Spanish,monthly,Food,funded,14,0.077
129,Fruits & Vegetables,male,Nicaragua,NI,shared,field_partner,23,650,Spanish,monthly,Food,funded,15,0.161
130,Used Clothing,female,Kenya,KE,shared,field_partner,14,625,English,monthly,Clothing,funded,8,0.223
131,Higher education costs,female,Nicaragua,NI,shared,field_partner,31,875,Spanish,monthly,Education,funded,15,0.161
132,Phone Use Sales,female,Philippines,PH,shared,field_partner,4,200,English,irregular,Retail,funded,7,0.029
133,Food Production/Sales,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Food,funded,7,0.422
134,Personal Housing Expenses,male,Mozambique,MZ,shared,field_partner,19,500,Portuguese,monthly,Housing,funded,20,0.043
135,Poultry,female,Egypt,EG,shared,field_partner,3,75,English,monthly,Agriculture,funded,14,0.022
136,Clothing Sales,female,Ecuador,EC,not shared,field_partner,42,1300,Spanish,irregular,Clothing,not_funded,29,0.054
137,Fish Selling,group,Vietnam,VN,shared,field_partner,12,3125,English,monthly,Food,not_funded,20,0.2
138,Farming,female,Cambodia,KH,shared,field_partner,34,1000,English,monthly,Agriculture,funded,26,0.196
139,General Store,female,Philippines,PH,shared,field_partner,4,150,English,monthly,Retail,funded,5,0.029
140,Shoe Sales,female,Zimbabwe,ZW,shared,field_partner,11,300,English,monthly,Retail,funded,8,0.024
141,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,5,375,Spanish,monthly,Housing,not_funded,13,0.173
142,Fruits & Vegetables,female,Uganda,UG,shared,field_partner,8,200,English,irregular,Food,funded,8,0.013
143,Home Appliances,group,Lao People's Democratic Republic,LA,shared,field_partner,14,375,English,bullet,Personal Use,funded,10,0.248
144,Knitting,female,Peru,PE,shared,field_partner,11,300,Spanish,monthly,Arts,funded,8,0
145,Food Stall,male,Ecuador,EC,shared,field_partner,10,1125,Spanish,monthly,Food,not_funded,14,0.003
146,Used Clothing,female,Philippines,PH,shared,field_partner,10,275,English,irregular,Clothing,funded,8,0.055
147,Spare Parts,female,Philippines,PH,shared,field_partner,29,1150,English,irregular,Retail,funded,8,0.039
148,Retail,female,Bolivia,BO,shared,field_partner,49,1475,Spanish,monthly,Retail,funded,14,0.077
149,Higher education costs,male,Cambodia,KH,shared,field_partner,1,300,English,monthly,Education,funded,14,0.353
150,Food Stall,female,Kenya,KE,shared,field_partner,10,250,English,irregular,Food,funded,13,0.075
151,Hardware,male,Nicaragua,NI,not shared,field_partner,17,500,Spanish,monthly,Retail,funded,14,0.077
152,Food Production/Sales,female,Philippines,PH,shared,field_partner,4,125,English,irregular,Food,funded,8,0.055
153,Higher education costs,female,Cambodia,KH,shared,field_partner,18,500,English,monthly,Education,funded,25,0.696
154,Motorcycle Transport,male,Cambodia,KH,not shared,field_partner,19,1000,English,monthly,Transportation,funded,26,0.16
155,Food Production/Sales,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Food,funded,8,0.055
156,Food,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Food,funded,8,0.055
157,Grocery Store,female,Nicaragua,NI,not shared,field_partner,24,725,Spanish,irregular,Food,funded,10,0.161
158,Food Market,group,Sierra Leone,SL,shared,field_partner,21,775,English,monthly,Food,funded,10,0.511
159,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.353
160,Barber Shop,male,Nicaragua,NI,not shared,field_partner,7,250,Spanish,monthly,Services,funded,14,0.112
161,Livestock,male,El Salvador,SV,shared,field_partner,20,500,Spanish,bullet,Agriculture,funded,14,0.054
162,Tailoring,female,Kenya,KE,shared,field_partner,11,400,English,irregular,Services,funded,14,0.075
163,Agriculture,male,El Salvador,SV,shared,field_partner,6,1200,Spanish,bullet,Agriculture,not_funded,14,0.054
164,Farming,male,El Salvador,SV,shared,field_partner,16,500,Spanish,monthly,Agriculture,funded,14,0.077
165,General Store,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Retail,funded,5,0.029
166,Clothing Sales,male,Cambodia,KH,not shared,field_partner,16,1000,English,monthly,Clothing,funded,20,0.16
167,Fruits & Vegetables,female,Senegal,SN,shared,field_partner,16,575,French,bullet,Food,funded,8,0.449
168,Food Market,female,Uganda,UG,shared,field_partner,13,350,English,irregular,Food,funded,8,0.013
169,Personal Products Sales,female,El Salvador,SV,shared,field_partner,33,1000,Spanish,monthly,Retail,funded,27,0.054
170,Farming,male,Colombia,CO,shared,field_partner,21,1050,Spanish,bullet,Agriculture,funded,27,0.005
171,Construction,male,Nicaragua,NI,not shared,field_partner,8,300,Spanish,monthly,Construction,funded,13,0.082
172,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,19,700,Spanish,monthly,Housing,funded,21,0.161
173,Personal Housing Expenses,female,Tajikistan,TJ,not shared,field_partner,20,2500,English,monthly,Housing,not_funded,20,0.033
174,Farming,female,Philippines,PH,shared,field_partner,7,250,English,monthly,Agriculture,funded,11,0.497
175,Clothing Sales,female,Peru,PE,not shared,field_partner,24,600,Spanish,irregular,Clothing,funded,6,0.071
176,Beauty Salon,female,Nigeria,NG,not shared,field_partner,14,450,English,monthly,Services,funded,11,0.107
177,Bakery,female,Peru,PE,not shared,field_partner,20,550,Spanish,monthly,Food,funded,8,0.062
178,Food Production/Sales,female,Philippines,PH,shared,field_partner,15,400,English,irregular,Food,funded,10,0.055
179,Furniture Making,female,Vietnam,VN,not shared,field_partner,1,150,Vietnamese,irregular,Manufacturing,funded,9,0.013
180,Services,group,Afghanistan,AF,not shared,field_partner,21,975,English,monthly,Services,funded,13,0.117
181,Farming,male,Nigeria,NG,shared,field_partner,7,200,English,bullet,Agriculture,funded,19,0.311
182,Clothing Sales,group,Sierra Leone,SL,shared,field_partner,19,650,English,monthly,Clothing,funded,1 Year,0.423
183,Fish Selling,female,Peru,PE,not shared,field_partner,6,175,Spanish,monthly,Food,funded,8,0.069
184,Personal Housing Expenses,female,Tajikistan,TJ,shared,field_partner,7,525,Russian,monthly,Housing,funded,14,0.033
185,Farming,female,Philippines,PH,not shared,field_partner,10,325,English,bullet,Agriculture,funded,7,0.09
186,Used Clothing,group,Dominican Republic,DO,not shared,field_partner,71,2600,English,irregular,Clothing,funded,7,0.078
187,Agriculture,male,Kenya,KE,shared,field_partner,1,400,English,bullet,Agriculture,not_funded,1 Year,0.02
188,General Store,female,Colombia,CO,shared,field_partner,15,800,Spanish,monthly,Retail,not_funded,21,0.005
189,Food,female,Philippines,PH,shared,field_partner,20,550,English,irregular,Food,funded,8,0.055
190,Agriculture,group,Honduras,HN,shared,field_partner,41,3150,Spanish,bullet,Agriculture,not_funded,10,0.073
191,Weaving,male,Guatemala,GT,shared,field_partner,22,625,Spanish,monthly,Arts,funded,14,0.082
192,Fish Selling,female,Philippines,PH,shared,field_partner,7,200,English,irregular,Food,funded,8,0.055
193,General Store,female,El Salvador,SV,shared,field_partner,14,500,Spanish,monthly,Retail,funded,17,0.054
194,Fishing,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Food,funded,10,0.055
195,Pigs,female,Philippines,PH,shared,field_partner,12,300,English,irregular,Agriculture,funded,14,0.055
196,Cattle,male,El Salvador,SV,shared,field_partner,10,600,Spanish,bullet,Agriculture,not_funded,14,0.054
197,General Store,female,Philippines,PH,shared,field_partner,8,250,English,irregular,Retail,funded,10,0.055
198,Cereals,female,Kenya,KE,shared,field_partner,14,375,English,monthly,Food,funded,8,0.223
199,Used Shoes,female,Uganda,UG,shared,field_partner,7,175,English,irregular,Clothing,funded,6,0.013
200,Cosmetics Sales,female,Peru,PE,shared,field_partner,19,550,Spanish,monthly,Retail,funded,9,0
201,Higher education costs,female,Peru,PE,shared,field_partner,22,550,Spanish,monthly,Education,funded,15,0
202,General Store,female,Philippines,PH,shared,field_partner,8,325,English,irregular,Retail,funded,7,0.422
203,Fruits & Vegetables,male,Cambodia,KH,not shared,field_partner,18,600,English,monthly,Food,funded,14,0.16
204,Fish Selling,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Food,funded,11,0.055
205,Food Production/Sales,female,Philippines,PH,shared,field_partner,5,175,English,irregular,Food,funded,8,0.055
206,Crafts,female,Peru,PE,shared,field_partner,35,900,Spanish,monthly,Arts,funded,8,0.069
207,Internet Cafe,male,Colombia,CO,shared,field_partner,11,325,Spanish,monthly,Services,funded,15,0.005
208,Fishing,male,Cambodia,KH,not shared,field_partner,8,200,English,monthly,Food,funded,1 Year,0.204
209,Home Energy,female,Philippines,PH,shared,field_partner,8,200,English,irregular,Personal Use,funded,14,0.055
210,Home Products Sales,female,Jordan,JO,shared,field_partner,18,750,English,monthly,Retail,funded,18,0.478
211,Clothing,group,Burundi,BI,shared,field_partner,65,2000,French,monthly,Clothing,funded,8,0.164
212,Farming,group,Cambodia,KH,shared,field_partner,36,925,English,monthly,Agriculture,funded,14,0.274
213,Food Production/Sales,female,El Salvador,SV,shared,field_partner,4,800,Spanish,monthly,Food,not_funded,15,0.201
214,Home Appliances,male,Yemen,YE,shared,field_partner,6,950,English,monthly,Personal Use,not_funded,26,0.2
215,Retail,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Retail,funded,8,0.497
216,Retail,male,El Salvador,SV,shared,field_partner,25,1200,Spanish,monthly,Retail,funded,26,0.054
217,Flowers,female,Philippines,PH,shared,field_partner,23,625,English,irregular,Agriculture,funded,20,0.497
218,Spare Parts,male,Uganda,UG,shared,field_partner,36,1000,English,monthly,Retail,funded,14,0.417
219,Sewing,female,Colombia,CO,shared,field_partner,11,1375,Spanish,bullet,Services,not_funded,27,0.005
220,Personal Housing Expenses,female,Cambodia,KH,shared,field_partner,16,475,English,monthly,Housing,funded,20,0.097
221,Property,male,El Salvador,SV,shared,field_partner,17,1000,Spanish,monthly,Housing,not_funded,26,0.077
222,Clothing Sales,female,El Salvador,SV,shared,field_partner,23,1200,Spanish,monthly,Clothing,not_funded,14,0.03
223,Clothing Sales,female,Kenya,KE,shared,field_partner,13,500,English,irregular,Clothing,funded,14,0.075
224,Food Production/Sales,female,Nicaragua,NI,shared,field_partner,13,400,Spanish,monthly,Food,funded,11,0.161
225,Food Stall,female,Uganda,UG,shared,field_partner,31,850,English,irregular,Food,funded,5,0.013
226,Agriculture,group,Kenya,KE,shared,field_partner,20,550,English,bullet,Agriculture,funded,11,0.223
227,Cosmetics Sales,female,Uganda,UG,shared,field_partner,16,1150,English,monthly,Retail,not_funded,14,0.013
228,Construction Supplies,female,Honduras,HN,not shared,field_partner,17,550,Spanish,monthly,Construction,funded,14,0.112
229,General Store,female,Ecuador,EC,shared,field_partner,30,850,Spanish,monthly,Retail,funded,13,0.003
230,Grocery Store,female,Jordan,JO,shared,field_partner,46,1875,English,monthly,Food,funded,27,0.005
231,General Store,female,Philippines,PH,shared,field_partner,11,275,English,irregular,Retail,funded,11,0.055
232,Farming,female,Kenya,KE,shared,field_partner,3,75,English,monthly,Agriculture,funded,8,0.02
233,Grocery Store,female,Haiti,HT,shared,field_partner,5,200,French,monthly,Food,funded,7,0.323
234,Beauty Salon,female,Lebanon,LB,shared,field_partner,13,1250,English,monthly,Services,not_funded,18,0.003
235,Phone Use Sales,female,Indonesia,ID,shared,field_partner,12,325,English,bullet,Retail,funded,14,0.057
236,Sewing,female,Tajikistan,TJ,shared,field_partner,21,525,Russian,monthly,Services,funded,14,0.086
237,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,10,600,Spanish,monthly,Housing,not_funded,14,0.132
238,General Store,female,Kenya,KE,shared,field_partner,3,500,English,irregular,Retail,funded,14,0.075
239,Shoe Sales,female,Mongolia,MN,shared,field_partner,75,2175,English,monthly,Retail,funded,13,0.006
240,Clothing Sales,female,Timor-Leste,TL,not shared,field_partner,14,1000,English,monthly,Clothing,not_funded,15,0.406
241,Fish Selling,female,Philippines,PH,shared,field_partner,7,225,English,irregular,Food,funded,8,0.055
242,Retail,female,Mali,ML,not shared,field_partner,15,525,French,monthly,Retail,funded,10,0.484
243,Higher education costs,female,Philippines,PH,shared,field_partner,5,150,English,irregular,Education,funded,8,0.055
244,Food Production/Sales,group,Uganda,UG,not shared,field_partner,36,975,English,monthly,Food,funded,15,0.013
245,General Store,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Retail,funded,7,0.055
246,Catering,female,Uganda,UG,shared,field_partner,4,125,English,irregular,Food,funded,14,0.417
247,Used Clothing,group,The Democratic Republic of the Congo,CD,shared,field_partner,24,3150,French,irregular,Clothing,funded,6,0.034
248,Restaurant,female,Colombia,CO,shared,field_partner,21,875,Spanish,monthly,Food,not_funded,15,0.009
249,Food Production/Sales,female,Philippines,PH,shared,field_partner,3,150,English,irregular,Food,funded,8,0.055
250,Food,group,Burundi,BI,shared,field_partner,71,2100,French,irregular,Food,funded,8,0.164
251,Fishing,male,Philippines,PH,shared,field_partner,22,575,English,irregular,Food,funded,8,0.055
252,Food Production/Sales,group,Nicaragua,NI,not shared,field_partner,50,2150,Spanish,irregular,Food,not_funded,10,0.161
253,Farming,male,El Salvador,SV,shared,field_partner,36,1000,Spanish,monthly,Agriculture,funded,27,0.077
254,Clothing Sales,female,Kenya,KE,shared,field_partner,6,150,English,monthly,Clothing,funded,14,0.509
255,Tailoring,female,Tajikistan,TJ,shared,field_partner,9,475,English,monthly,Services,funded,14,0.021
256,Cereals,female,Kenya,KE,shared,field_partner,5,600,English,monthly,Food,not_funded,20,0.223
257,Farming,male,Nigeria,NG,shared,field_partner,7,200,English,bullet,Agriculture,funded,18,0.311
258,Jewelry,group,Honduras,HN,shared,field_partner,47,1475,Spanish,irregular,Retail,funded,6,0.089
259,Personal Housing Expenses,male,Uganda,UG,shared,field_partner,7,600,English,monthly,Housing,funded,1 Year,0.013
260,Higher education costs,female,Philippines,PH,shared,field_partner,19,475,English,bullet,Education,funded,25,0.497
261,Pigs,female,Philippines,PH,shared,field_partner,6,250,English,irregular,Agriculture,funded,7,0.039
262,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Food,funded,8,0.039
263,General Store,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Retail,funded,8,0.422
264,Construction Supplies,female,Pakistan,PK,shared,field_partner,5,150,English,irregular,Construction,funded,11,0.039
